"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Atención</strong>: Captcha distingue mayúsculas y minúsculas."
"After number of attempts to login","Después de varios intentos de conexión"
"Always","Siempre"
"CAPTCHA","CAPTCHA"
"CAPTCHA Timeout (minutes)","CAPTCHA Tiempo de espera agotado (minutos)"
"CAPTCHA for ""Create user"" and ""Forgot password"" forms is always enabled if chosen","CAPTCHA para formularios ""Create user"" y ""Forgot password"" siempre está habilitado si se eligen"
"Case Sensitive","Distingue Mayúsculas Y Minúsculas"
"Displaying Mode","Displaying Mode"
"Enable CAPTCHA in Admin","Activar CAPTCHA de Administración"
"Enable CAPTCHA on Frontend","Activar CAPTCHA en Frontend"
"Font","Tipografia"
"Forms","Formulario"
"If 0 is specified, CAPTCHA on the Login form will be always available.","Si se especifica 0, CAPTCHA en el formulario de acceso estará siempre disponible."
"Incorrect CAPTCHA.","CAPTCHA Incorrecto."
"Number of Symbols","Número de Símbolos"
"Number of Unsuccessful Attempts to Login","Número de Intentos Fallidos para Iniciar Sesión"
"Please specify 8 symbols at the most. Range allowed (e.g. 3-5)","Por favor, especifique 8 símbolos como máximo. Rango permitido (ej. 3-5)"
"Please type the letters below","Por favor escriba las letras de abajo"
"Please type the letters from the image:","Por favor escriba las letras de la imagen:"
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer.","Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer."
"Reload captcha","Recardga captcha"
"Symbols Used in CAPTCHA","Símbolos utilizados en CAPTCHA"