"Collected Files Count","Recopilado Conteo de Archivos"
"Compilation","Compilación"
"Compilation State","Estado de compilación"
"Compilation error","Erro de compilación"
"Compiled","Compilado"
"Compiled Scopes Count","Compiled Scopes Count"
"Compiler Status","Estado del Compilador"
"Compiler include path is disabled.","Ruta incluida en el compilador está Desactivado"
"Compiler include path is enabled.","Ruta incluida en el compilador está Habilitado."
"Directory ""%s"" must be writeable","Directorio ""%s"" debe tener permiso de escritura"
"Disable","Desactivar"
"Disabled","Desactivado"
"Enable","Activar"
"Enabled","Habilitado"
"File ""%s"" must be writeable","Archivo ""%s"" debe tener permiso de escritura"
"Not Compiled","No Compilado"
"Run Compilation Process","Ejecutar Proceso de Compilación"
"Scopes Compilation Settings","Scopes Compilation Settings"
"System","Sistema"
"The compilation has completed.","La compilación ha completado."
"Tools","Herramientas"