"1.5.0.0 & later","1.5.0.0 & later"
"Action","Action"
"Add Author","Add Author"
"Add Contents Path","Add Contents Path"
"Add PHP Extension dependency","Add PHP Extension dependency"
"Add Package dependency","Add Package dependency"
"Add files","Añadir Archivos"
"Authors","Autores"
"Channel","Canal"
"Contents","Contenidos"
"Create Extension Package","Crear Paquete de Extensión"
"Dependencies","Dependencias"
"Description","Descripcion"
"Edit Extension","Editar Extensión"
"Email","Correo Electronico"
"Extension","Extension"
"Extensions","Extensiones"
"Failed to create the package.","Falló al crear el paquete."
"Failed to load the package data.","Falló al cargar el paquete de dato."
"Failed to save the package.","Falló al guardar el paquete."
"Files","Archivos"
"Folder","Directorio"
"Ignore","Ignorar"
"Include","Incluye"
"License","Licencia"
"License URI","Licencia URI"
"Load Local Package","Cargar Paquete Local"
"Load local Package","Cargar Paquete local"
"Magento Connect","Magento Connect"
"Magento Connect Manager","Administrar Magento Connect"
"Max","Max"
"Maximum","Máximo"
"Min","Min"
"Minimum","Mínimo"
"Name","Nombre"
"New Extension","Nueva Extension"
"PHP Version","PHP Version"
"Package","Paquete"
"Package Extensions","Extensiones de Paquete"
"Package File Name","Nombre de Archivo Paquete"
"Package Info","Información del Paquete"
"Packages","Paquetes"
"Path","Ruta"
"Pre-1.5.0.0","Pre-1.5.0.0"
"Release Info","Release Info"
"Remove","Quitar"
"Save As...","Guardar Como..."
"Save Data and Create Package","Guardar Datos y Creación de Paquetes"
"Save package with custom package file name","Save package with custom package file name"
"Summary","Resumen"
"Supported releases","Versiones compatibles"
"System","Sistema"
"Target","Objetivo"
"The package %s data has been loaded.","El paquete de datos %s se ha cargado."
"The package data has been saved.","El paquete de datos se ha guardado."
"There was a problem saving package data","Hubo un problema al guardar el paquete de datos"
"Type","Tipo"
"User","Usuario"