"%s Index process is working now. Please try run this process later.","%s Index process is working now. Please try run this process later."
"%s index was rebuilt.","%s index was rebuilt."
"'%s' Index Process Information","'%s' Index Process Information"
"Action","Acción"
"Cannot initialize the indexer process.","No se puede inicializar el proceso de indexación."
"Change Index Mode","Cambiar el Modo del Índice"
"Click here to go to <a href=""%s"">Cache Management</a> and refresh cache types.","Click here to go to <a href=""%s"">Cache Management</a> and refresh cache types."
"Click here to go to <a href=""%s"">Index Management</a> and rebuild required indexes.","Click here to go to <a href=""%s"">Index Management</a> and rebuild required indexes."
"Delete","Eliminar"
"Description","Descripción"
"Disable","Inactivo"
"Enable","Activo"
"General","General"
"Index","Índice"
"Index Description","Descripción del Índice"
"Index Management","Administración del Índice"
"Index Mode","Modo del Índice"
"Index Name","Nombre del Índice"
"Index mode","Modo del índice"
"Indexer code is not defined.","Código de indexador no está definido."
"Indexer model is not defined.","Modelo indexador no está definido."
"Indexer model should extend Mage_Index_Model_Indexer_Abstract.","Modelo indexador debe extenderse Mage_Index_Model_Indexer_Abstract."
"Manual Update","Actualización Manual"
"Mode","Modo"
"Never","Nunca"
"No","No"
"One or more of the Indexes are not up to date:","Uno o más de los índices no están al día:"
"Please select Index(es)","Por favor, seleccione Índice(s)"
"Please select Indexes","Por favor, seleccione Índices"
"Process Information","Información del Proceso"
"Processing","Procesando"
"Ready","Listo"
"Refresh","Refrescar"
"Reindex Data","Reindexar Datos"
"Reindex Required","Reindexación Requerida"
"Revoke","Revocar"
"Status","Estado"
"System","Sistema"
"The index has been saved.","El índice se ha guardado."
"There was a problem with reindexing process.","There was a problem with reindexing process."
"There was a problem with saving process.","There was a problem with saving process."
"Total of %d index(es) have changed index mode.","Total of %d index(es) have changed index mode."
"Total of %d index(es) have reindexed data.","Total of %d index(es) have reindexed data."
"Update Required","Actualización Requerida"
"Update on Save","Actualización sobre Guardar"
"Updated At","Actualizado A"
"Yes","Si"